other_lang,n,label_disagreement_mean,confidence_distance_mean
sw,300,0.23333333333333334,0.016268748967121514
hi,300,0.21,0.017603086345412303
tr,300,0.20666666666666667,0.0173488193412623
zh,300,0.19333333333333333,0.015895310173821536
ar,300,0.17333333333333334,0.017135785490707146
th,300,0.17333333333333334,0.017541178214968804
vi,300,0.16,0.016167795841172703
de,300,0.15666666666666668,0.013352012472020712
es,300,0.15666666666666668,0.013069528694205145
fr,300,0.14,0.013257202794588278
